x,y,z,action
0.805535483,-0.01216728,-0.01216728,Jatuh
0.805579321,-0.011990857,-0.59214193,Jatuh
0.805721446,-0.011670792,-0.591966561,Jatuh
0.805483895,-0.011496265,-0.592299845,Jatuh
0.805348816,-0.01204703,-0.592452511,Jatuh
0.805270825,-0.013258101,-0.592484949,Jatuh
0.805172256,-0.013456311,-0.592606359,Jatuh
0.805246547,-0.014646105,-0.592424831,Jatuh
0.805349116,-0.014200127,-0.592316117,Jatuh
0.805556136,-0.013625515,-0.592072616,Jatuh
0.805507545,-0.013607265,-0.592140019,Jatuh
0.805771989,-0.013412618,-0.59179227,Jatuh
0.805693231,-0.013118021,-0.5919185,Jatuh
0.805545989,-0.012744447,-0.592142425,Jatuh
0.805455202,-0.011274446,-0.59235106,Jatuh
0.805158001,-0.01134622,-0.592751488,Jatuh
0.805151787,-0.012543455,-0.592691238,Jatuh
0.805333541,-0.011894982,-0.592482053,Jatuh
0.80551564,-0.010845188,-0.592291643,Jatuh
0.805385488,-0.013173985,-0.592334203,Jatuh
0.805702177,-0.01409223,-0.591842352,Jatuh
0.8056491,-0.014622702,-0.591877972,Jatuh
0.805805534,-0.013140705,-0.591763955,Jatuh
0.805771349,-0.013825689,-0.591765985,Jatuh
0.805887899,-0.013596621,-0.59162218,Jatuh
0.805646844,-0.013609711,-0.591950033,Jatuh
0.805241449,-0.013612318,-0.592502041,Jatuh
0.805615263,-0.013116907,-0.592024831,Jatuh
0.805750405,-0.01204554,-0.591905664,Jatuh
0.805891736,-0.011843762,-0.591724634,Jatuh
0.805705697,-0.012457211,-0.591942268,Jatuh
0.805769558,-0.012700608,-0.591840452,Jatuh
0.805588898,-0.012112826,-0.592121802,Jatuh
0.805387945,-0.011429032,-0.592434156,Jatuh
0.804986621,-0.011801821,-0.592959152,Jatuh
0.805344352,-0.012452773,-0.592434674,Jatuh
0.805420496,-0.011960414,-0.592359948,Jatuh
0.805273321,-0.012322842,-0.592539082,Jatuh
0.805195524,-0.012427486,-0.592638701,Jatuh
0.805391462,-0.013543421,-0.592302309,Jatuh
0.805709748,-0.013087543,-0.591897911,Jatuh
0.805593817,-0.012596821,-0.592086284,Jatuh
0.805250498,-0.013423276,-0.592502016,Jatuh
0.805247546,-0.013013192,-0.592532103,Jatuh
0.8052759,-0.012925046,-0.592499014,Jatuh
0.805384355,-0.01341741,-0.592320165,Jatuh
0.805690509,-0.014019394,-0.591863203,Jatuh
0.805547304,-0.015010778,-0.591989022,Jatuh
0.80565886,-0.013943651,-0.59191146,Jatuh
0.805439769,-0.013528621,-0.592237484,Jatuh
0.805596114,-0.012039404,-0.592116245,Jatuh
0.805639723,-0.010954141,-0.592116969,Jatuh
0.805985475,-0.011740133,-0.591602705,Jatuh
