x,y,z
-0.571390162268,-0.0712930434263,-0.049918644293
-0.570929470932,-0.0718821533812,-0.0502752226046
-0.570858701015,-0.0728215166231,-0.0509305524773
-0.570895218707,-0.0732885470503,-0.0512660162306
-0.571491917127,-0.0725354079709,-0.0508122696283
-0.572029921346,-0.0719929408471,-0.0504989041416
-0.572240890427,-0.0722432636821,-0.0507045540084
-0.572090677441,-0.072327389446,-0.0507443307217
-0.572079145625,-0.0723623110525,-0.0507675873964
-0.571839019754,-0.0715989652388,-0.0501942606243
-0.571971166985,-0.0713539413683,-0.0500378241805
-0.572214054796,-0.0714408910608,-0.0501313664734
-0.572301462019,-0.070949040526,-0.0497936910772
-0.571603807675,-0.0706182416749,-0.0494684948586
-0.57108751445,-0.0712194448858,-0.0498270303169
-0.57112381345,-0.071302582639,-0.0498905996877
-0.570941422614,-0.0710246694595,-0.0496702163883
-0.570502988644,-0.0705650595809,-0.0492885968267
-0.569846138023,-0.070389924621,-0.049080453701
-0.570525842276,-0.070084115347,-0.0489518871117
-0.570342073584,-0.0692802896351,-0.0483611094572
-0.570748119338,-0.0687354102669,-0.0480277231737
-0.570693357133,-0.0679965256202,-0.0474992637676
-0.570630650498,-0.0683520583017,-0.0477423784633
-0.571131623199,-0.06811711333,-0.0476389659205
-0.571706264665,-0.0676580512569,-0.0473857876313
-0.572406682002,-0.0671611558634,-0.0471204898257
-0.572572756248,-0.0665805861384,-0.0467293740091
-0.572798733076,-0.0662821302286,-0.0465453279364
-0.573438217254,-0.0654563598651,-0.0460367344589
-0.573617149147,-0.0654620635628,-0.0460623311704
-0.573487603192,-0.0651975127008,-0.0458588547036
-0.573442833419,-0.0654452357267,-0.046029390635
-0.572874143985,-0.0662571855485,-0.0465368147803
-0.572359628693,-0.0670307203632,-0.0470222625029
-0.572032300799,-0.0670089960842,-0.0469666405825
-0.571756837301,-0.0672066719573,-0.0470726657115
-0.571610073956,-0.0674637614799,-0.0472364334005
-0.571253799744,-0.0683886088832,-0.0478461191967
